2024-08-09,₫8.05tr
2024-08-10,₫1.94tr
2024-08-11,₫6.77tr
2024-08-12,₫3.13tr
2024-08-13,₫829.85k
2024-08-14,₫0
2024-08-15,₫1.37tỉ
2024-08-16,₫550.68k
2024-08-17,₫2.24tr
2024-08-18,₫277.33k
2024-08-19,₫333.37k
2024-08-20,₫138.42k
2024-08-21,₫734.76k
2024-08-22,₫192.21k
2024-08-23,₫456.41k
2024-08-24,₫176.16k
2024-08-25,₫0
2024-08-26,₫0
2024-08-27,₫1.02tỉ
2024-08-28,₫1.24tỉ
2024-08-29,₫11.38tỉ
2024-08-30,₫554.77k
2024-08-31,₫139.70k
2024-09-01,₫0
2024-09-02,₫442.21k
2024-09-03,₫1.74tỉ
2024-09-04,₫0
2024-09-05,₫8.85tỉ
2024-09-06,₫0
2024-09-07,₫0
